epoch,train_loss,valid_loss,accuracy
1,4.782001774795471,4.548273406913895,0.03353293240070343
2,4.4644258645930535,4.300805543853851,0.04910179600119591
3,4.29580554085446,4.134139051266059,0.071856290102005
4,4.15474764617872,3.9872485891787592,0.08862275630235672
5,4.047045402067082,3.9212637096108076,0.09820359200239182
6,3.966655682225234,3.872938270625954,0.07784431427717209
7,3.8588568067672027,3.82138619051722,0.10658682882785797
8,3.789158082861514,3.796050287006858,0.11497005820274353
9,3.727412185870275,3.7112710507330067,0.1269461065530777
10,3.6698019062978346,3.710458248389695,0.10778442770242691
11,3.611603630179862,3.6460786174157422,0.1365269422531128
12,3.5483932376603984,3.706294449218019,0.12455090135335922
13,3.486835643977065,3.575979952897854,0.13892215490341187
14,3.4614574705024808,3.505790994838326,0.16766467690467834
15,3.3943838467764307,3.5323618095078153,0.15089820325374603
16,3.3658311736139286,3.553741126146145,0.16047903895378113
17,3.325696979245127,3.511063164294123,0.1497005969285965
18,3.271325290122777,3.509407086001185,0.17365269362926483
19,3.2452159200997603,3.513509542785005,0.1592814326286316
20,3.2244608146306515,3.4949804897079924,0.18323352932929993
21,3.1622708749050044,3.490798298898571,0.16407185792922974
22,3.1560516781856207,3.470813671271958,0.1760479062795639
23,3.113641312422555,3.491961356694113,0.19161677360534668
24,3.0984982656029674,3.4521008200274257,0.18682634830474854
25,3.051663552167298,3.590004031244152,0.1892215609550476
26,3.062953392747884,3.434107422114846,0.19401197135448456
27,3.028289809236271,3.4626796568225244,0.1892215609550476
28,2.9841118935500637,3.44484864680353,0.19281436502933502
29,2.9579746982690405,3.441211675312705,0.185628741979599
30,2.93281494127203,3.478716776042641,0.2023952156305313
31,2.9162766199516024,3.4553657894362946,0.21077844500541687
32,2.916895214821304,3.49272472758493,0.20958083868026733
33,2.888078145057003,3.3687367247964093,0.22874251008033752
34,2.8484012751472907,3.4147448968030734,0.21437126398086548
35,2.850706940658222,3.555356374614967,0.1988023966550827
36,2.8104754217835777,3.5652255880618524,0.20598801970481873
37,2.775068640548288,3.532271815131524,0.20359280705451965
38,2.7585573534459336,3.4257008030029112,0.20718562602996826
39,2.718402311319647,3.484615906127199,0.21077844500541687
40,2.695823974783575,3.4773011870013026,0.21437126398086548
41,2.7150064446394593,3.511234584682716,0.20000000298023224
42,2.665349281339307,3.4659987886508783,0.2119760513305664
43,2.6923390959422555,3.395812780414513,0.2251497060060501
44,2.670578458955642,3.422664062420051,0.22275449335575104
45,2.6496417868331905,3.4632280112740523,0.22275449335575104
46,2.588766324875294,3.4871211109047167,0.227544903755188
47,2.6002821987270326,3.518085811238089,0.21317365765571594
48,2.606112942329369,3.52239764579042,0.20598801970481873
49,2.558533840326514,3.481659614540146,0.22874251008033752
50,2.5602712550907905,3.608628228467382,0.2083832323551178
51,2.547073220614099,3.5673683948859485,0.20958083868026733
52,2.544750189706226,3.538954330490021,0.19760479032993317
53,2.5235074297506164,3.5128443249685324,0.22994011640548706
54,2.55724798262271,3.5536730923338564,0.227544903755188
55,2.5026761226479852,3.6093440986678984,0.22874251008033752
56,2.4870528594375565,3.511749105396385,0.2251497060060501
57,2.4583987174124786,3.473651547489052,0.2215568870306015
58,2.461772661291923,3.4829991326360648,0.2311377227306366
59,2.433508556926834,3.5224484814855153,0.2083832323551178
60,2.4271909512165584,3.56359256984231,0.2215568870306015
61,2.433740288951758,3.6343621536643207,0.21077844500541687
62,2.4374185240291912,3.5852377645983666,0.21437126398086548
